Номер,Вопрос,Ответ
167,"Что такое ассоциативность кеша? Какова ""структура"" адреса с точки зрения кеша?","Определение. Ассоциативность кэша - способ выбора кешлинии под конкретную ячейку памяти. Т.е. нам приходит информация, у нее есть тег (идентификатор области внешней памяти). В какую ячейку кеша ее сохранить? На этот вопрос отвечает ассоциативность."
168,Каковы особенности реализации полностью ассоциативного кеша?,"Структура ответа: дать классификацию и коротко пояснить пункты. (ассоциативность кеша - характристика кеша, определяющая в какую из кеш-линий может попать ячейка/блок информации в зависимости от его адреса) Решение ""в лоб"" - любой блок памяти может попасть в любую кеш- линию. Для каждой кеш-линии стоит компоратор, который сравнивает пришедший адрес с тегам кеш-линий."
169,Каковы особенности реализации кеша с прямым отображением?,"Структура ответа: дать классификацию и коротко пояснить пункты. Возьмем адрес, отрежем у него младшие биты потому что мы храним блоки. Возьмем столько средних битов, сколько кеш-линий у нас есть (это будет номер нашей кеш-линии. Эквивалентно остатку от деления адреса на размер кеша). А в тег запишем только оставшиеся старшие биты. Тогда при поиске мы точно будем знать, в какой ячейке кеша искать запрошенный адрес (просто берем средние биты, это и будет номер кеш-линии)."
170,Что такое множественно-ассоциативный кеш и что определяет уровень множественности?,"Определение. Множественно-ассоциативный кеш - гибрид прошлых двух. Мы берем кеш с прямым отображением и повторяем его несколько раз. Таким образом мы теперь для одного индекса можем хранить несколько блоков, что неплохо. Как ищем - берем адрес и ищем его в каждом подкеше с прямым отображением как обычно, получаем несколько блоков и смотрим с кем у нас совпадает тег."
171,Как связана ассоциативность кеша с механизмом вытеснения и замещения?,"Ответ. Механизм вытеснения и замещения нужен нам тогда и только тогда, когда для одного блока памяти по определенному адресу может быть несколько возможных мест в нашем кеше. Например для кеша с прямым отображением не нужна логика вытеснения, замещения, потому что там одному адресу строго соответсвует одно место в кеше"
172,Как работает механизм вытеснения и замещения LRU в кеше?,"Механизм. Когда нам надо понять, какую кеш-линию можно наименее болезненно удалить из кеша возникает проблема как понять, какая именно кеш-линия самая ненужная сейчас. Есть тип такого мезанизма как LRU (last-recently-used) когда мы считаем что наверное самая ненужная линия это та, к оторой уже давно никто не обращался. Как понять какая? Для этого мы заводим глобальный счетчик доступов к кешу (это будет наш ""timestamp"") и при чтении/записи в кеш-линию будем записывать текущее значение счетчика."
173,Как работает механизм вытеснения и замещения PLRU в кеше?,"Механизм. Гениальный способ определения самой ненужной ячейки - псевдо LRU. Как он работает, нарисовано на картинке: Мы создаем бинарное дерево, где его листья - наши кеш-линии, а в любой другой вершине либо 0 либо 1. ""0"" означает стрелку влево, ""1"" означает стрелку вправо. При доступе к какой либо ячейке мы меняем все 1 на 0, а 0 на 1 по пути к этой ячейке через дерево."
174,Почему необходимо использование многоуровневой иерархии кеш-памяти в современных процессорах?,"Причина. Мы вынуждены использовать многоуровневую систему, потому что мы одновременно хотим большой и быстрый кеш, но при этом не хотим отдавать много денег/места/энергии. Поэтому придумали сделать многоуровневую структуру, которая является компромиссом по объему/скорости/стоимости. Классифицировать многоуровневые кеши можно по 3 признакам: Разделенный/унифицированный Включающий/исключающий Частный/общий"
175,В чём разница между разделённым и унифицированным кешем и где они применяются?,"Ответ. Разделенный многоуровневый кеш: Мы создаем два физически разных кеша, один будет отвечать за данные, другой за инструкции. И что мы на уровне кешей имитируем гарвардскую архитектуру, хотя память и канал доступа к памяти один! Получаем возможности конвейеризации без конфликтов по доступу к памяти. Лучше работают каждый из кешей за счет бОльшей локальности обрабатываемых данных Унифицированный многоуровневый кеш: у нас просто один кеш :/ Обычно по уровням может отличаться разделенность/ унифицированность."
176,В чём разница между включающим и исключающим кешем и где они применяются?,"Ответ. Включающий многоуровневый кеш: Все, что хранится в L1 точно хранится в L2 и L3. Все что есть в L2 точно есть в L3. Исключающий многоуровневый кеш: Каждый кеш сам за себя."
177,В чём разница между частным и общим кешем и как они применяются в многоядерных процессорах?,Ответ. Разделение актуально для многоядерных систем Частный кеш: только одно ядро имеет доступ к этому кешу Общий кеш: несколько ядер имеет доступ к этому кешу По уровням частность/общность кеша может отличаться
178,"Что представляет собой типовой многоуровневый кеш: L1, L2, L3, L4? Каковы их назначение, тип ячеек, классификация?","Структура ответа: дать классификацию и коротко пояснить пункты. L0 - очень специфичекий кеш очень близко к процессору который используется его внутренними структурами, сопроцессорами и очень сильно с ними завязан и фактически неотделим. Чаще чсего даже не выносится как отдельный кеш L1 - тоже достаточо неотделимый, очень оптимизирован под конкретный процессор, под структуры конкртеного процессора. Чаще всего частный, разделенный под имитацию гарвардской архитектуры. L2 - уже такие, хорошие может объемы в себе хранить, до десятка мегабайт."
179,Что такое когерентность кеш-памяти и каково её значение для многоядерных систем? Какие существуют возможные состояния кеш-линий?,"Структура ответа: дать классификацию и коротко пояснить пункты. Когерентность - целостность данных в кешах процессора между собой и в памяти. Т.е. ситуация, когда все ядра при чтении будет получать одинаковые и более того актуальные данные, согласованные с RAM. В многоядерных системах с этим бывают проблемки потому что ядра могут осуществлять параллельный доступ к данным на чтение/ запись + DMA еще может работать и все такое."
180,Как происходит обмен информацией о кеш-линиях через справочник? Как этот подход масштабируется?,"Механизм. Один из способов реализации обмена информацией это через справочник. Т.е. появляется некоторый центральный блок, который подключен к кешу каждого ядра, и внутри себя хранит таблицу- справочник. Для каждой кеш-линии в системе он хранит: Modified bit. Изменена ли эта линия по сравнению с тем, что есть в основной памяти (RAM) Presence bits."
181,Как происходит обмен информацией о кеш-линиях через отслеживание? Как этот подход масштабируется?,"Механизм. Идея обмена информацией через отслеживание в следующем - давайте сделаем так, что общение кешей с памятью будет проходить по одной общей шине. Получится так, что каждый кеш сможет слушать, что остальные делают с памятью и в соответсвии с этим обновлять там свои статусы, помечать данные и так далее. Плохо, что нам приходится тянуть одну общую шину через все кеши, затем нам приходится как-то диспетчиризировать эту шину, выстраивать кеши в очередь."
182,Как происходит обмен информацией о кеш-линиях через перехват? Как этот подход масштабируется?,"Механизм. Если в случае подхода через отслеживание мы прокладывали только шины адреса, то здесь мы прокладываем еще и шину данных. Теперь кеши могут видеть, кто что отправляет в память и не только обновлять состояния своих ячеек, но и сразу обновлять их значения! Это сильно оптимизирует всю систему, ну и помогает в полной мере реализовать MOESI (потому что честно говоря в логике ""через отслеживание"" у кешей нет вариантов обмениваться между собой данными, и как тогда работает логика Owned-Shared непонятно. в случае перехвата все супер)"
183,"Какие существуют типы кеш-промахов (3C + 1: cold, capacity, conflict, coherence)? Какие способы смягчения характерны для каждого?","Структура ответа: дать классификацию и коротко пояснить пункты. здесь реальные типы кеш-промахов (в отличие от вопроса 166, где их вроде как нельзя назвать типами кеш-промахов). Все хорошо описано на картинке:"
184,Что такое CAP-теорема? Какова область её применения и как она применяется к когерентности кешей?,"Определение. CAP-теорема - то, что мы рассматривали для разных уровней кешей и их синхронизации, только обобщенное на любую распределенную систему. Например, бд которая хранится распределенно на несколько серверов. Так вот, сама теорема говорит о том, что у каждой системы есть три параметра: И что все три параметра одновременно обеспечить невозможно, можно только два Ну и в области когерентности кешей у нас нет требования к ""Устойчивости к разбиению"" так что теорема применяется в формате ""возможно обеспечить Согласованность и Доступность"""
185,"Что означают термины ""Consistency"", ""Availability"" и ""Partition tolerance"" в CAP-теореме? Опишите их.","Ответ. CAP-теорема - то, что мы рассматривали для разных уровней кешей и их синхронизации, только обобщенное на любую распределенную систему. Например, бд которая хранится распределенно на несколько серверов. Так вот, сама теорема говорит о том, что у каждой системы есть три параметра: И что все три параметра одновременно обеспечить невозможно, можно только два"
186,"Как кеш влияет на производительность памяти? Какие существуют способы оптимизации доступа, включая AoS и SoA?","Структура ответа: дать классификацию и коротко пояснить пункты. В теории кеш-память по производительности будет обгонять обычную память, соответственно кеш позитивно влияет на произвотильеность памяти, по крайней мере он для этого был придуман В лекции 14 на 1:15:14 приведен хороший пример об оптимизации перемножения матриц с учетом особенностей работы с кешем."
187,Как кеш работает с виртуальными и физическими адресами?,"Ответ. Есть момент с тем, что в реальных системах на процессорах запускается несколько задач-процессов. Чаще всего у каждого процесса своя виртуальная память (разобрано ранее в вопросах), и соотвественно каждый процесс запрашивает данные в виртуальной адресации, которая затем уже транслируется в физическую (что занимает время)."
188,Что такое HyperThreading? Как два логических ядра делят физический кеш и как это влияет на производительность?,"Определение. HyperThreading - подход который не дает настоящих нескольких процессов, но за счет двух наборов основных регистров позволяет одному физическому ядру обрабатывать два потока вычислений одновременно, переключаясь между ними за счет отдельных комплектов регистров. Перелкючение например может происходить в момент cache-miss на одном ядре и пока ждем ответа переключаемся на другое ядро."
189,В чём суть уязвимостей Meltdown и Spectre? Как кеш и спекулятивное исполнение создают канал утечки данных?,"Ответ. Обе уязвимости основываются на том, что мы начинаем выполнять инструкции, которые не должны быть выполнены. Например потому что у нас длинный pipeline, или потому что branch-predictor сказал что надо идти туда. Meltdown - позволяет прочитать данные, которые запрещены для чтения данному процессу. В общем случае работает так: За счет спекулятивного исполнения получалось так, что еще до проверки доступа, элмент user_array по индексу secret*4096 оказывался в кеше."
190,Что представляет собой концепция уровневой организации компьютерных систем и каковы её преимущества?,"Структура ответа: дать классификацию и коротко пояснить пункты. Уровневая организация - естественный способ организации вычислительных систем, где система разделена на группы компонентов (называемых уровнями), которые имеют некоторую иерархию и относительную независимость друг от друга. Каждый уровень решает конкретную задачу, предоставляя конкретный интерфейс для других уровней, скрывая внутренние детали реализации. Такие уровни абстракции позволяют разделять команды разработчиков, снижая общую сложность разработки, делают системы модульными и вариативными , позволяя заменять реализацию некоторых уровней целиком"
191,Какие примеры уровневой организации вычислительных систем вы знаете? Чем они отличаются друг от друга?,"Ответ. Lava Flow - антипаттерн проектирования (как делать не надо), когда проект можно представтиь как извергающийся вулкан. Т.е. во время разработки проекта вулкан периодически извергается (приходит новый разработчик, появляется новое требование, меняется подход), далее из него изливается лава (пишется новый код там и так далее) только вся эта лава (и вся работа над проектом) накладывается поверх предыдущих, уже окаменевших слоев. Никто не подвергает сомнениям старый код, никто его не рефакторит, просто фигачат сверху больше и больше."
192,Что такое явление разделения на уровни (disaggregation) и каково его современное положение? Что было до него?,"Определение. Изначально каждая коммерческая компания стремилась покрыть все уровни: Они разрабатывали свои процессоры, свои чипы, собирали свои устройства, писали под них свои ОС, под эти ОС писали свое ПО. Затем произошла реорганизация всего этого ( disaggregation ) и сейчас уже очень мало компаний, которые покрывают настолько много уровней. По большей части сейчас у нас есть компании, которые производят конкретно процессоры и специализируются на этом. Есть компании, которые пилят прикладной софт."
193,Почему необходимо нарушение уровневой иерархии в современных системах? Приведите примеры.,"Причина. Разделение на уровни это классно все супер ровно до того момента как только у нас появляются строгие требования реального времени, или мы становимся очень чувствительны к сокрости выполнения или энергопотребление стремимся оптимизировать или еще что. В таких задачах мы не можем игнорировать внутренние уровни Чтобы обеспечить выполнение этих наших задач мы вынуждены нарушать уровневую иерархию разными способами. Начиная от того, что на верхнем уровне языка мы задумываемся о том как работают нижние уровни, например кеши."
194,Какие проблемы возникают при обеспечении реального времени в современных процессорах?,"Ответ. Со всеми ""наворотами"" и оптимизациями процессоров которые мы рассматриваем в курсе, при обеспечени задач реального времени в современных процессорах выоникает куча проблем: спекулятивное исполнение, кеш-память, виртуальная память все это призвано улучшить производительность но на практике порождает недетерменированность времени выполнения, когда мы не можем понять, сколько именно будет выполняться конкретная инструкция, сколько именно будет реакция системы на воздействие. Поэтому нам приходится как-то обходить эти все штуки на программном уровне"
195,Что такое низкоуровневый параллелизм? Приведите примеры.,"Определение. Низкоуровневый параллелелизм - параллелелизм, который достигается внутри процессора на уровне его микроархитектуры. Это тот параллелелизм, который не виден для программиста и не влияет на прикладное программирование. Примеры организации такого параллелелизма: Конвейеризация то, что рассматривалось подробно ранее."
196,"Что такое суперскалярные процессоры и каковы принципы их работы, достоинства и недостатки?","Структура ответа: дать классификацию и коротко пояснить пункты. Идея суперскалярного процессора родилась из конвейерной организации, когда стало понятно, что этап исполнения инструкций достаточно тяжелый, под него заточено много логики, он может быть долгим и может тормозить весь конвейер. Люди подумали, а давайте у нас процессор будет парсить инструкции так быстро как может, затем будет складывать их в очередь, а отдельный юнит будет диспетчеризировать параллельное исполнение этих инструкций за счет того, что у нас есть несколько независимых функциональных узлов, умеющих выполнять инструкции."
197,Как пошагово выполняются инструкции в суперскалярном процессоре?,Ответ. Если говорить подробно:
198,Что такое VLIW-процессоры? Какими достоинствами и недостатками они обладают?,"Определение. VLIW-процессор - поскольку у нас теперь несколько исполнителей, несколько функциональных блоков и мы заранее знаем, каике операции они могут исполнять, то зачем нам вообще во время работы диспетчеризировать маленькие инструкции на эти исполнители если можно просто сделать большие инструкции, которые объединяют сразу несколько операций и идеально заполняют все наши вычислительные блоки: +к недостаткам - из-за очень широких инструкций нам надо делать все широкое - широкие каналы доступа к памяти, широкие регистры и все такое"
199,Как соотносятся суперскалярные и VLIW процессоры применительно к разным классам задач?,"Ответ. Итого: Суперскаляр лучше для каких-то универсальных штук, и особенно для задач где много переходов. Потому что суперскалярный процессор гораздо лучше с этим справляется и может подмешивать разные инструкции разные потоки и все такое. +он обратно совместим, ассемблерный код может запускаться на любом процессоре который поддерживает ISA на котором написан этот код VLIW лучше всего работает в узкоспециализированных задачах, например где надо делать кучу однотипных вычислений (в числодробилках)."
200,Какие существуют промежуточные варианты между суперскалярным и VLIW процессором? Какие проблемы они решают?,"Структура ответа: дать классификацию и коротко пояснить пункты. Если смотреть чуть более общим взглядом, то суперскаляр и VLIW это всего лишь крайности, где в одном случае мы поток инструкций в рантайме группируем и пытаемся пережевать, а в другом у нас уже на уровне инструкций все объеденино и в рантайме нам надо только выполнять инструкции вообще не задумываясь. можно разбить код на 4 этапа обработки. Любой код должен их пройти, вопрос только в том, что что-то можно делать на этапе копиляции, а что-то делать в самом процессоре во время работы."
201,Что такое барьеры памяти и в каких ситуациях они применяются?,"Определение. Барьер памяти - специальная инструкиця, которая предписывает компилятору (при генерации инструкций) и процессору (при исполнении инструкций) не смешивать обращения к памяти. Чтобы обращения после барьера никогда не выполнялись раньше обращений до барьера. Применяется когда нам важна последовательность обращений к памяти (например, сначала записали новые данные, и только потом установили флаг готовности новых данных) Актуально для процессоров, которые могут перемешивать выполнение инструкций (например, для суперскалярных процессоров) и для компиляторов,..."
202,Как суперскалярное исполнение и store buffers влияют на порядок обращений к памяти в многоядерных системах?,"Ответ. Что такое барьер памяти (fence) и зачем он нужен? Суперскалярное исполнение подразумевает несколько исполнительных блоков, умеющих выполнять инструкции. Поскольку поток один, а исполнителей несколько, этот поток распределяется на них, а как именно - только самому процессору известно и выполняются соответственно в хаотичном порядке. Поэтому инструкции чтения могут быть выполнены в произвольном порядке."
203,Какие ключевые элементы составляют структурное программирование? В чём отличие от кода на ассемблере?,"Ответ. Язык высокого уровня - это когда мы переходим от инструкций и джампов, ну т.е. вообще от абстракций процессора к структурным блокам и их последовательностям. В особенности так реализован язык Си, в основе которого заложена идея, что любую программу можно представить как структурные блоки. Из три типа: Последовательный - просто некоторая совокупность операций Условный - в зависимости от условия выполняем или одно или другое Циклический - выполняем некоторый блок пока есть некоторое условие Ну и можно называть отдельные блоки и вызввать их:"
204,Как реализуются процедуры на уровне ассемблера? Что такое call/return и зачем нужен стек вызовов?,"Определение. При написании кода нам так или иначе нужны процедуры. Зачем: с целью переиспользования машинного кода для оптимизации кеша (инструкции не дублируются по разным адресам в разных местах программы, а лежат все компактно в одном месте) Есть как минимум три подхода к реализации процедур: - мы просто вместо вызова процедуры вставляем все inline инструкции этой процедуры и все."
205,Что такое реентерабельность и почему она важна?,"Определение. Приведите примеры. Реентерабельность - это свойство процедуры, позволяющее ей быть взываннной повторно до того как завершился предыдущий ее вызов. Т.е. если мы можем безопасно прервать ее выполнение ее же вызовом. Рекурсия например активно использует это свойство, когда функция вызывает сама себя."
206,Как реализуется механизм рекурсии?,"Механизм. Есть два варианта, как можно реализовать рекурсию: У второго подхода плюс, что нам не нужен аппаратный стек, не нужна никакая аппаратная поддержка там и все такое."
207,В чём заключается проблема распределения регистров и как работает алгоритм раскраски?,"Механизм. Эта проблема возникает на этапе компиляции, когда язык высокого уровня нам надо перевести в инструкции. И нам бы очень хотелось, чтобы код выполнялся быстро, в частности с минимальным числом обращений в память. Т.е. было бы клоассно, чтобы у нас все крутилось и вычислялось в регистрах. Но регистров у нас не всегда так много, как хотелось бы и более того не всегда они одинаковы, значит надо как-то распределять этот орагниченный ресурс."
208,Как условный оператор может быть реализован через полиморфизм и замыкания? Пример на Smalltalk.,"Ответ. В объектно-ориентированной философии (например, в Smalltalk) условный оператор if-else полностью удален из синтаксиса языка. Вместо него логика ветвления реализуется за счет динамической диспетчеризации (вызова методов) и упаковки кода в анонимные функции. Классы вместо булевых типов: Истина ( True ) и Ложь ( False ) - это два самостоятельных класса-наследника, унаследованных от общего абстрактного класса ."
209,Что такое ленивые вычисления и как они связаны с реализацией условного оператора?,"Определение. Ленивые вычисления (Lazy Evaluation) - это стратегия вычисления, при которой выражение вычисляется не в момент его создания, а только тогда, когда его результат реально потребовался для работы программы. Например не вычислять аргемент функции, пока к нему не обратились внутри функции Условный оператор по своей сути всегда должен быть ленивым, потому что выполняется или одна ветка или вторая. Нельзя пройтись по обеим веткам, а оставить только результат одной из них. Поэтому без ленивых вычислений условный оператор теряет смысл"
210,Как async / await связан с кооперативной многозадачностью на уровне языка программирования?,"Ответ. Механизм async / await — это синтаксический инструмент языка программирования, созданный специально для реализации кооперативной многозадачности . Он позволяет нескольким задачам выполняться условно параллельно в рамках одного и того же физического потока. Главный принцип кооперативной многозадачности — добровольная передача управления ."
211,Что такое FPGA и каковы его преимущества и недостатки?,"Структура ответа: дать классификацию и коротко пояснить пункты. FPGA - Field-Programmable Gate Array (он же ПЛИС - программируемая логическая интегральная схема) это вычислитель, являющийся промежуточным решением между ASIC - Application-Specific Integrated Circuit и CPU - Central Processor Unit . В чем концепция - cpu это супер универсальный вычислитель, реализующий временные вычисления. Он относительно медленный, содержит много логики для интерпретации и выполнения команд и вычислительный процесс в нем представлен как алгоритм, последовательность команд. Это одна крайность."
212,Какие этапы включает в себя синтез для FPGA?,"Структура ответа: назвать этапы и главную тенденцию. Вместо инструкций здесь у нас используется языки описания архитектуры (способ представления схемы в текстовом формате) Дальше это преобразовывается, раскрывается в Generic Boolean т.е. в простую логическую схему, состоящие из комбинационных схем. Дальше исходя из того, что у нас есть в чипе формируется физическое воплощение этой схемы"
213,Как FPGA устроены внутри?,"Ответ. ПЛИС состоит из множества маленьких логических блоков, собранных в матрицы. Каждый блок умеет реализовывать небольшие таблицы истинности. Блоки мы можем произвольно соединять между собой. Также есть блоки памяти (RAM) и подобие регистров + специальные блоки под частые задачи (например сумматоры, делители), чтобы не тратить на них кучу блоков. Каждый логический блок мы конечно можем настроить, загрузив туда нужную таблицу истиности"
214,Что такое HDL и RTL? Чем описание аппаратуры на HDL отличается от программирования на языках высокого уровня?,Определение. Главные отличия описания аппаратуры на HDL от программирования на языках высокого уровня:
215,"Как соотносятся CPU и FPGA с точки зрения модели программирования, модели вычислений, модели исполнения и элементов микроархитектуры?","Ответ. Ну я лучше чем нейронка не опишу, все по фактам раскидывает: Микроархитектуру вообще достаточно глупо сравнивать, она очень разная и очень специфичная для каждого из двух подходов."
216,Что представляет собой классификация Флинна и какие классы архитектур она выделяет? Примеры.,"Ответ. Классификация Флинна - попытка классифицировать параллельные процессоры. Каждому процессору сопоставляется два параметра: Количество потоков инструкций Количество потоков данных PU это processor unit, некоторые блоки которые могут принимать инструкцию, принимать данные и делать результат. Без параллелелизма. Выделяеются 4 группы: Single/Multiple Instruction Simple/Multiple Data (соотсветсвенно SISD, SIMD, MISD, MIMD) SIMD - когда одна операция запускается параллельно сразу для нескольких наборов данных."
